,0,1,2,3,4,5,6,7,8,9,braid_knot_env,braid_knot_env_0_1,braid_knot_env_0_1_limexp,braid_knot_env_0_1_limexp_u,braid_knot_env_0_1_limexp_k2
194,-2,-2,-2,-2,2,-1,1,-1,-1,2,2,2,2,2,2
195,-2,-2,-2,-2,2,-1,2,2,-1,-2,4,4,4,4,4
196,-2,-2,-2,-2,2,1,-1,-2,1,-1,2,2,2,2,2
197,-2,-2,-2,-2,2,1,-1,2,-2,2,1,1,1,1,1
198,-2,-2,-2,-2,2,1,1,-2,-1,1,3,5,3,3,3
199,-2,-2,-2,-2,2,1,1,-2,1,1,4,6,4,4,4
200,-2,-2,-2,-2,2,1,1,-1,-1,-2,2,2,2,2,2
201,-2,-2,-2,-2,2,1,1,2,-1,-1,3,3,3,3,3
202,-2,-2,-2,-2,2,1,2,-1,-2,1,5,3,3,5,3
203,-2,-2,-2,-2,2,2,-1,-1,-1,-1,3,3,3,3,3
204,-2,-2,-2,-2,2,2,-1,-1,1,-1,2,2,2,2,2
205,-2,-2,-2,-2,2,2,-1,-1,2,-2,2,2,2,2,2
206,-2,-2,-2,-2,2,2,-1,1,-1,-1,2,2,2,2,2
207,-2,-2,-2,-2,2,2,-1,1,2,-2,1,1,1,1,1
208,-2,-2,-2,-2,2,2,1,-2,-2,-1,2,4,2,2,2
209,-2,-2,-2,-2,2,2,1,-2,2,-1,1,1,1,1,1
210,-2,-2,-2,-2,2,2,1,-1,-2,2,1,1,1,1,1
211,-2,-2,-2,-2,2,2,1,-1,2,-2,1,1,1,1,1
212,-2,-2,-2,-2,2,2,1,1,1,-1,2,2,2,2,2
213,-2,-2,-2,-2,2,2,1,2,-2,1,2,2,2,2,2
214,-2,-2,-2,-2,2,2,2,-2,-1,-1,2,2,2,2,2
215,-2,-2,-2,-2,2,2,2,-1,-1,2,1,1,1,1,1
216,-2,-2,-2,-2,2,2,2,1,-1,-2,1,1,1,1,1
217,-2,-2,-2,-2,2,2,2,2,-2,-2,1,1,1,1,1
218,-2,-2,-2,-2,2,2,2,2,-1,-1,1,1,1,1,1
219,-2,-2,-2,-1,-2,-2,-2,-2,1,2,3,3,5,3,3
220,-2,-2,-2,-1,-2,-2,-2,1,-2,-1,4,8,4,4,4
221,-2,-2,-2,-1,-2,-2,-1,-2,-1,1,4,4,4,4,4
222,-2,-2,-2,-1,-2,-2,-1,-2,1,-1,4,4,4,4,4
223,-2,-2,-2,-1,-2,-2,-1,-1,-1,2,4,4,4,4,4
224,-2,-2,-2,-1,-2,-2,-1,-1,1,2,3,3,3,3,3
225,-2,-2,-2,-1,-2,-2,-1,1,-1,-2,4,4,4,4,4
226,-2,-2,-2,-1,-2,-2,-1,1,1,-2,3,3,3,3,3
227,-2,-2,-2,-1,-2,-2,-1,2,-2,-2,4,4,4,4,4
228,-2,-2,-2,-1,-2,-2,-1,2,2,-2,3,3,3,3,3
229,-2,-2,-2,-1,-2,-2,1,-2,-2,2,3,5,3,3,3
230,-2,-2,-2,-1,-2,-2,1,-2,-1,-1,4,4,4,4,4
231,-2,-2,-2,-1,-2,-2,2,-2,1,2,2,2,2,2,2
232,-2,-2,-2,-1,-2,-2,2,2,-1,2,2,2,4,2,4
233,-2,-2,-2,-1,-2,-1,-2,-2,2,1,3,3,3,3,3
234,-2,-2,-2,-1,-2,-1,-2,-1,1,-1,4,4,4,4,4
235,-2,-2,-2,-1,-2,-1,-2,1,2,-2,3,3,3,3,3
236,-2,-2,-2,-1,-2,-1,-1,1,2,1,2,2,2,2,2
237,-2,-2,-2,-1,-2,-1,1,-1,-2,-1,4,6,4,4,4
238,-2,-2,-2,-1,-2,-1,1,2,1,-2,2,2,2,2,2
239,-2,-2,-2,-1,-2,-1,2,-1,-2,-2,4,4,4,4,4
240,-2,-2,-2,-1,-2,-1,2,1,-1,1,2,2,2,2,2
241,-2,-2,-2,-1,-2,1,-2,-1,1,-1,5,3,3,3,3
242,-2,-2,-2,-1,-2,1,-2,1,1,1,5,3,3,3,3
243,-2,-2,-2,-1,-2,1,-2,2,2,-1,2,2,2,2,2
244,-2,-2,-2,-1,-2,1,-1,-1,-2,1,3,5,3,3,3
245,-2,-2,-2,-1,-2,1,-1,1,2,-1,2,2,2,2,2
246,-2,-2,-2,-1,-2,1,1,-2,1,-2,2,2,2,2,4
247,-2,-2,-2,-1,-2,1,1,-1,-2,-1,3,3,3,3,3
248,-2,-2,-2,-1,-2,1,1,2,-1,2,1,3,3,1,5
249,-2,-2,-2,-1,-2,1,2,-2,2,1,1,1,1,1,1
250,-2,-2,-2,-1,-2,1,2,1,-1,1,1,1,1,1,1
251,-2,-2,-2,-1,-2,1,2,1,1,-1,1,1,1,1,1
252,-2,-2,-2,-1,-2,1,2,1,1,1,2,2,2,2,2
253,-2,-2,-2,-1,-2,1,2,2,2,-1,3,3,3,3,3
254,-2,-2,-2,-1,-2,2,-2,-2,1,2,2,4,2,2,2
255,-2,-2,-2,-1,-2,2,-2,1,-2,1,2,2,2,2,2
256,-2,-2,-2,-1,-2,2,1,1,-1,-2,2,2,2,2,2
257,-2,-2,-2,-1,-2,2,1,1,1,-2,3,3,3,3,3
258,-2,-2,-2,-1,-2,2,1,2,1,-1,1,1,1,1,1
259,-2,-2,-2,-1,-2,2,2,-2,1,-2,2,2,2,2,2
260,-2,-2,-2,-1,-2,2,2,-1,2,1,5,5,3,3,3
261,-2,-2,-2,-1,-1,-2,-2,-2,2,-2,4,4,4,4,4
262,-2,-2,-2,-1,-1,-2,-2,2,1,-1,3,5,3,3,3
263,-2,-2,-2,-1,-1,-2,-1,-1,-2,-2,5,5,5,5,5
264,-2,-2,-2,-1,-1,-2,-1,-1,1,-1,4,4,4,4,4
265,-2,-2,-2,-1,-1,-2,-1,-1,1,1,3,3,3,3,3
266,-2,-2,-2,-1,-1,-2,-1,1,-1,-1,4,4,4,4,4
267,-2,-2,-2,-1,-1,-2,1,-1,2,-2,3,3,3,3,3
268,-2,-2,-2,-1,-1,-2,2,-1,-1,-2,4,4,4,4,4
269,-2,-2,-2,-1,-1,-2,2,2,-1,-1,3,3,3,3,3
270,-2,-2,-2,-1,-1,-2,2,2,2,-2,2,2,2,2,2
271,-2,-2,-2,-1,-1,-1,-2,-2,1,-2,4,4,4,4,4
272,-2,-2,-2,-1,-1,-1,-2,-2,1,2,3,3,3,3,3
273,-2,-2,-2,-1,-1,-1,-2,2,-1,2,3,3,3,3,5
274,-2,-2,-2,-1,-1,-1,-2,2,1,2,2,2,2,2,2
275,-2,-2,-2,-1,-1,-1,-1,-2,1,-1,4,4,6,4,4
276,-2,-2,-2,-1,-1,-1,-1,-2,2,2,3,3,3,3,3
277,-2,-2,-2,-1,-1,-1,-1,2,-2,2,3,3,3,3,3
278,-2,-2,-2,-1,-1,-1,-1,2,1,1,4,4,6,4,4
279,-2,-2,-2,-1,-1,-1,1,-2,1,1,4,4,4,4,4
280,-2,-2,-2,-1,-1,-1,1,-2,2,2,2,2,2,2,2
281,-2,-2,-2,-1,-1,-1,1,2,1,-1,2,2,2,2,2
282,-2,-2,-2,-1,-1,-1,1,2,2,-2,2,2,2,2,2
283,-2,-2,-2,-1,-1,-1,2,-1,-2,-1,4,6,4,4,4
284,-2,-2,-2,-1,-1,1,-2,-2,1,2,2,2,2,2,2
285,-2,-2,-2,-1,-1,1,-2,-1,-2,-1,4,4,4,4,4
286,-2,-2,-2,-1,-1,1,-2,1,-2,-1,3,3,3,3,3
287,-2,-2,-2,-1,-1,1,-2,2,-1,-2,3,3,3,3,3
288,-2,-2,-2,-1,-1,1,-1,-2,-2,-2,4,4,4,4,4
289,-2,-2,-2,-1,-1,1,-1,-1,-1,-2,4,4,4,4,4
290,-2,-2,-2,-1,-1,1,-1,2,-2,2,2,2,2,2,2
291,-2,-2,-2,-1,-1,1,-1,2,1,-1,2,2,2,2,2
292,-2,-2,-2,-1,-1,1,-1,2,2,2,1,3,1,1,1
293,-2,-2,-2,-1,-1,1,1,-2,1,-1,2,2,2,2,2
294,-2,-2,-2,-1,-1,1,2,-2,-1,-2,3,3,3,3,3
295,-2,-2,-2,-1,-1,1,2,-2,1,2,1,1,1,1,1
296,-2,-2,-2,-1,-1,2,-2,-1,1,2,2,2,2,2,2
297,-2,-2,-2,-1,-1,2,-2,1,1,2,1,1,1,1,1
298,-2,-2,-2,-1,-1,2,-1,-1,2,-2,3,3,3,3,5
299,-2,-2,-2,-1,-1,2,-1,1,-1,1,2,2,2,2,2
300,-2,-2,-2,-1,-1,2,1,2,-2,1,3,3,3,3,3
301,-2,-2,-2,-1,-1,2,2,-2,-2,2,2,2,2,2,2
302,-2,-2,-2,-1,-1,2,2,-2,-1,-1,3,3,3,3,3
303,-2,-2,-2,-1,1,-2,-2,2,-2,2,2,2,2,2,2
304,-2,-2,-2,-1,1,-2,-1,-2,2,-1,3,3,3,3,3
305,-2,-2,-2,-1,1,-2,-1,-1,2,-2,3,3,3,3,3
306,-2,-2,-2,-1,1,-2,-1,1,1,-1,2,2,2,2,2
307,-2,-2,-2,-1,1,-2,-1,1,2,-2,2,2,2,2,2
308,-2,-2,-2,-1,1,-2,-1,2,2,-1,4,4,4,4,4
309,-2,-2,-2,-1,1,-2,1,1,1,1,4,4,4,4,4
310,-2,-2,-2,-1,1,-2,2,-2,-2,2,2,2,2,2,2
311,-2,-2,-2,-1,1,-2,2,-2,-1,1,2,2,2,2,2
312,-2,-2,-2,-1,1,-2,2,-2,1,-1,2,2,2,2,2
313,-2,-2,-2,-1,1,-2,2,-2,1,1,3,3,3,3,3
314,-2,-2,-2,-1,1,-2,2,1,1,-2,3,3,3,3,3
315,-2,-2,-2,-1,1,-2,2,2,-1,1,1,1,1,1,1
316,-2,-2,-2,-1,1,-2,2,2,1,-1,1,1,1,1,1
317,-2,-2,-2,-1,1,-2,2,2,2,-2,1,1,1,1,1
318,-2,-2,-2,-1,1,-1,-2,2,1,2,1,1,1,1,1
319,-2,-2,-2,-1,1,-1,-1,-2,-2,-2,4,4,4,4,4
320,-2,-2,-2,-1,1,-1,-1,-2,-1,1,3,3,3,3,3
321,-2,-2,-2,-1,1,-1,-1,1,1,2,1,1,1,1,1
322,-2,-2,-2,-1,1,-1,-1,2,1,-1,2,2,2,2,2
323,-2,-2,-2,-1,1,-1,-1,2,1,1,3,3,3,3,3
324,-2,-2,-2,-1,1,-1,1,-2,-2,-2,3,5,3,3,3
325,-2,-2,-2,-1,1,-1,1,-2,-1,-1,3,3,3,3,3
326,-2,-2,-2,-1,1,-1,1,-1,-1,-2,3,3,3,3,3
327,-2,-2,-2,-1,1,-1,1,2,-2,-2,2,2,2,2,2
328,-2,-2,-2,-1,1,-1,1,2,-1,-1,2,2,2,2,2
329,-2,-2,-2,-1,1,-1,2,-2,-1,-2,3,3,3,3,3
330,-2,-2,-2,-1,1,-1,2,1,-2,-1,2,2,2,2,2
331,-2,-2,-2,-1,1,-1,2,1,2,1,2,2,2,2,2
332,-2,-2,-2,-1,1,-1,2,2,1,2,2,2,2,2,2
333,-2,-2,-2,-1,1,1,-2,-2,-1,-2,3,3,3,3,3
334,-2,-2,-2,-1,1,1,-2,-2,1,-2,4,4,4,4,4
335,-2,-2,-2,-1,1,1,-1,-1,-1,-2,3,3,3,3,3
336,-2,-2,-2,-1,1,1,-1,1,1,-2,3,3,3,3,3
337,-2,-2,-2,-1,1,1,1,-2,-2,-2,4,4,4,4,4
338,-2,-2,-2,-1,1,1,1,-2,1,1,4,4,4,4,4
339,-2,-2,-2,-1,1,1,1,-1,-1,2,1,1,1,1,1
340,-2,-2,-2,-1,1,1,1,1,1,2,3,5,3,3,3
341,-2,-2,-2,-1,1,1,2,-1,2,1,4,6,4,4,4
342,-2,-2,-2,-1,1,1,2,2,-1,-2,3,5,3,3,5
343,-2,-2,-2,-1,1,1,2,2,1,2,3,3,3,3,3
344,-2,-2,-2,-1,1,2,-2,-1,-1,-2,3,3,3,3,3
345,-2,-2,-2,-1,1,2,-2,-1,1,-2,2,2,2,2,2
346,-2,-2,-2,-1,1,2,-2,2,-2,2,1,3,1,1,1
347,-2,-2,-2,-1,1,2,-2,2,2,-2,1,1,1,1,1
